Street,Type_Group,Frequency,Model_Type,Params,MAE,MAPE,Improvement_Pct
ALTINYOL CADDESI,Combined,Daily,ARIMA,"Order=(2, 1, 1), Seas=(0, 0, 0, 0)",0.3380563023305767,0.24629206009845356,-1.2571541385539542
ALTINYOL CADDESI,Combined,Daily,SARIMA,"Order=(1, 0, 1), Seas=(1, 1, 1, 7)",0.3429827808768172,0.25325702407553496,-2.732769869063691
ALTINYOL CADDESI,Combined,Daily,ExpSmoothing,"{'trend': None, 'seasonal': None}",0.3516130109822048,0.21376919008336961,-5.317760990388456
YEŞILLIK CADDESI,Combined,Daily,Baseline,Mean,0.3355018315018316,0.29168986568986577,0.0
YEŞILLIK CADDESI,Combined,Daily,AR,"Order=(3, 0, 0), Seas=(0, 0, 0, 0)",0.45000598766475375,0.32249186233380034,-34.12921939959575
YEŞILLIK CADDESI,Combined,Daily,MA,"Order=(0, 0, 3), Seas=(0, 0, 0, 0)",1.1602513824907095,0.9602513824907094,-245.8256478949729
YEŞILLIK CADDESI,Combined,Daily,ARMA,"Order=(2, 0, 2), Seas=(0, 0, 0, 0)",0.33406276559276665,0.22706195549130995,0.428929375027002
YEŞILLIK CADDESI,Combined,Daily,ARIMA,"Order=(1, 1, 2), Seas=(0, 0, 0, 0)",0.2936727531765223,0.24876972969835476,12.467615493503184
YEŞILLIK CADDESI,Combined,Daily,SARIMA,"Order=(1, 0, 1), Seas=(1, 1, 1, 7)",0.3012709180940783,0.2543880885737621,10.202899118172603
YEŞILLIK CADDESI,Combined,Daily,ExpSmoothing,"{'trend': None, 'seasonal': None}",0.2000358471757413,0.11671296926866587,40.37712215152266
YEŞILDERE CADDESI,Combined,Weekly,Baseline,Mean,2.809397163120568,0.5554155421509145,0.0
YEŞILDERE CADDESI,Combined,Weekly,AR,"Order=(3, 0, 0), Seas=(0, 0, 0, 0)",2.561183248130384,0.3985648122866414,8.835130833352078
YEŞILDERE CADDESI,Combined,Weekly,MA,"Order=(0, 0, 3), Seas=(0, 0, 0, 0)",6.214565236255691,0.8963747022526176,-121.20636120215897
YEŞILDERE CADDESI,Combined,Weekly,ARMA,"Order=(1, 0, 2), Seas=(0, 0, 0, 0)",2.526999203663556,0.477491991948177,10.051905909356565
YEŞILDERE CADDESI,Combined,Weekly,ARIMA,"Order=(0, 1, 2), Seas=(0, 0, 0, 0)",2.5963406769056045,0.5009297154288055,7.583708313363161
YEŞILDERE CADDESI,Combined,Weekly,SARIMA,"Order=(1, 1, 1), Seas=(1, 1, 1, 52)",3.2321552853156947,0.5424526800684735,-15.048001320167339
YEŞILDERE CADDESI,Combined,Weekly,ExpSmoothing,"{'trend': None, 'seasonal': None}",2.619174246186462,0.507909344636703,6.770951413747913
ANADOLU CADDESI,Combined,Weekly,Baseline,Mean,3.525709219858156,1.0531202507598785,0.0
ANADOLU CADDESI,Combined,Weekly,AR,"Order=(3, 0, 0), Seas=(0, 0, 0, 0)",3.1815268553216582,0.7447541907276323,9.76207460893059
ANADOLU CADDESI,Combined,Weekly,MA,"Order=(0, 0, 3), Seas=(0, 0, 0, 0)",5.694036004440853,0.9145041304611908,-61.500442871744575
ANADOLU CADDESI,Combined,Weekly,ARMA,"Order=(1, 0, 2), Seas=(0, 0, 0, 0)",3.219373287669716,0.9129801804554032,8.688632927044514
ANADOLU CADDESI,Combined,Weekly,ARIMA,"Order=(0, 1, 2), Seas=(0, 0, 0, 0)",3.3594046769091612,0.984528503391123,4.716910345649138
ANADOLU CADDESI,Combined,Weekly,SARIMA,"Order=(0, 1, 1), Seas=(1, 1, 1, 52)",3.1010594326077623,0.6927404509873502,12.04437918075042
ANADOLU CADDESI,Combined,Weekly,ExpSmoothing,"{'trend': None, 'seasonal': None}",3.5257092982255553,1.0531202803808895,-2.222741421646924e-06
MÜRSELPAŞA BULVARI,Combined,Weekly,Baseline,Mean,2.6680035650623886,0.8502815267521151,0.0
MÜRSELPAŞA BULVARI,Combined,Weekly,AR,"Order=(3, 0, 0), Seas=(0, 0, 0, 0)",2.519375505983944,0.5822029128340305,5.57075938820827
MÜRSELPAŞA BULVARI,Combined,Weekly,MA,"Order=(0, 0, 3), Seas=(0, 0, 0, 0)",5.105616709978871,0.8445988026253,-91.36468844484025
MÜRSELPAŞA BULVARI,Combined,Weekly,ARMA,"Order=(1, 0, 2), Seas=(0, 0, 0, 0)",2.3377663074621853,0.6946913739263963,12.377691766408153
MÜRSELPAŞA BULVARI,Combined,Weekly,ARIMA,"Order=(0, 1, 2), Seas=(0, 0, 0, 0)",2.363188661591191,0.7167069956553433,11.424831190736057
MÜRSELPAŞA BULVARI,Combined,Weekly,SARIMA,"Order=(0, 1, 1), Seas=(1, 1, 1, 52)",2.0225704451504387,0.649775767481431,24.191613848044355
MÜRSELPAŞA BULVARI,Combined,Weekly,ExpSmoothing,"{'trend': None, 'seasonal': None}",2.3636150646740224,0.6941754547559505,11.408849087547916
AKÇAY CADDESI,Combined,Weekly,Baseline,Mean,2.400709219858156,0.42020291568163914,0.0
AKÇAY CADDESI,Combined,Weekly,AR,"Order=(3, 0, 0), Seas=(0, 0, 0, 0)",3.274186742630396,0.5980376494163601,-36.38414496628828
AKÇAY CADDESI,Combined,Weekly,MA,"Order=(0, 0, 3), Seas=(0, 0, 0, 0)",7.05435945532543,0.9189559650376774,-193.8448103990799
AKÇAY CADDESI,Combined,Weekly,ARMA,"Order=(1, 0, 2), Seas=(0, 0, 0, 0)",2.3631229775615705,0.4071428522356488,1.5656307721768292
AKÇAY CADDESI,Combined,Weekly,ARIMA,"Order=(0, 1, 2), Seas=(0, 0, 0, 0)",2.3948801095571715,0.41748625835087066,0.24280784414736659
AKÇAY CADDESI,Combined,Weekly,SARIMA,"Order=(0, 1, 1), Seas=(1, 1, 1, 52)",4.104684329325515,0.6544210751449088,-70.97798831163888
AKÇAY CADDESI,Combined,Weekly,ExpSmoothing,"{'trend': None, 'seasonal': None}",2.4010104371173644,0.42028347934541155,-0.01254701138799656
MUSTAFA KEMAL SAHIL BULVARI,Combined,Weekly,Baseline,Mean,1.6826241134751774,0.6263804457953394,0.0
MUSTAFA KEMAL SAHIL BULVARI,Combined,Weekly,AR,"Order=(3, 0, 0), Seas=(0, 0, 0, 0)",1.6549925514078219,0.5387504877300182,1.6421708120114338
MUSTAFA KEMAL SAHIL BULVARI,Combined,Weekly,MA,"Order=(0, 0, 3), Seas=(0, 0, 0, 0)",3.9312463558919517,0.9230711031266656,-133.63782346923716
MUSTAFA KEMAL SAHIL BULVARI,Combined,Weekly,ARMA,"Order=(1, 0, 2), Seas=(0, 0, 0, 0)",1.5514829656875762,0.4665806058163011,7.793846928578196
MUSTAFA KEMAL SAHIL BULVARI,Combined,Weekly,ARIMA,"Order=(0, 1, 2), Seas=(0, 0, 0, 0)",1.5622184013530547,0.48583007989723587,7.155829466478103
MUSTAFA KEMAL SAHIL BULVARI,Combined,Weekly,SARIMA,"Order=(0, 1, 1), Seas=(1, 1, 1, 52)",2.033850573126059,0.46049264569108184,-20.873732691580333
MUSTAFA KEMAL SAHIL BULVARI,Combined,Weekly,ExpSmoothing,"{'trend': None, 'seasonal': None}",1.5833333333333333,0.4885940164690168,5.9009483667018
ANKARA CADDESI,Combined,Weekly,Baseline,Mean,2.012032085561497,0.8511904761904763,0.0
ANKARA CADDESI,Combined,Weekly,AR,"Order=(3, 0, 0), Seas=(0, 0, 0, 0)",2.607188205750628,0.6004426138141885,-29.57985235225714
ANKARA CADDESI,Combined,Weekly,MA,"Order=(0, 0, 3), Seas=(0, 0, 0, 0)",3.816068763980511,0.9455490178654579,-89.66242096062608
ANKARA CADDESI,Combined,Weekly,ARMA,"Order=(1, 0, 2), Seas=(0, 0, 0, 0)",2.0196578667730933,0.46199739730958095,-0.3790089266627262
ANKARA CADDESI,Combined,Weekly,ARIMA,"Order=(0, 1, 2), Seas=(0, 0, 0, 0)",1.950807162334223,0.4684840589044068,3.0429397059136916
ANKARA CADDESI,Combined,Weekly,SARIMA,"Order=(0, 1, 1), Seas=(1, 1, 1, 52)",3.9709932169082234,1.1731086991855826,-97.36232068088715
ANKARA CADDESI,Combined,Weekly,ExpSmoothing,"{'trend': None, 'seasonal': None}",1.9318072541540487,0.47067282995747517,3.987254079253909
ALTINYOL CADDESI,Combined,Weekly,Baseline,Mean,1.699468085106383,0.5521572104018913,0.0
ALTINYOL CADDESI,Combined,Weekly,AR,"Order=(3, 0, 0), Seas=(0, 0, 0, 0)",1.6890989492814106,0.3456919767742607,0.6101400735821036
ALTINYOL CADDESI,Combined,Weekly,MA,"Order=(0, 0, 3), Seas=(0, 0, 0, 0)",3.4136859611613257,0.9340162531228966,-100.86790632185578
ALTINYOL CADDESI,Combined,Weekly,ARMA,"Order=(2, 0, 2), Seas=(0, 0, 0, 0)",1.631426815139255,0.4459162292706738,4.003680361133041
ALTINYOL CADDESI,Combined,Weekly,ARIMA,"Order=(2, 1, 2), Seas=(0, 0, 0, 0)",1.6481513110250496,0.46651476390581453,3.0195785687920744
ALTINYOL CADDESI,Combined,Weekly,SARIMA,"Order=(0, 1, 1), Seas=(1, 1, 1, 52)",2.207579649416903,0.5566311824328968,-29.89827045082245
ALTINYOL CADDESI,Combined,Weekly,ExpSmoothing,"{'trend': None, 'seasonal': None}",1.6182048157785154,0.45735006285271274,4.781688461232901
YEŞILLIK CADDESI,Combined,Weekly,Baseline,Mean,1.7890070921985817,1.343971631205674,0.0
YEŞILLIK CADDESI,Combined,Weekly,AR,"Order=(3, 0, 0), Seas=(0, 0, 0, 0)",1.3083010505157067,0.8075252507633568,26.869990833413425
YEŞILLIK CADDESI,Combined,Weekly,MA,"Order=(0, 0, 3), Seas=(0, 0, 0, 0)",2.5314119051591617,0.936322390339586,-41.49814811791547
YEŞILLIK CADDESI,Combined,Weekly,ARMA,"Order=(1, 0, 2), Seas=(0, 0, 0, 0)",1.495823250861729,1.097338901525992,16.388075967689282
YEŞILLIK CADDESI,Combined,Weekly,ARIMA,"Order=(0, 1, 2), Seas=(0, 0, 0, 0)",1.5403784783070495,1.149815079728605,13.89757564269813
YEŞILLIK CADDESI,Combined,Weekly,SARIMA,"Order=(0, 1, 1), Seas=(1, 1, 1, 52)",1.9851133611451302,1.2419671244767334,-10.961737927240172
YEŞILLIK CADDESI,Combined,Weekly,ExpSmoothing,"{'trend': 'add', 'seasonal': None}",1.4907256271836147,1.0916244087219231,16.67301746961758
YEŞILDERE CADDESI,Combined,Monthly,Baseline,Mean,10.25,0.46921357951688836,0.0
YEŞILDERE CADDESI,Combined,Monthly,AR,"Order=(3, 0, 0), Seas=(0, 0, 0, 0)",21.61514428173071,0.916419594381474,-110.87945640712888
YEŞILDERE CADDESI,Combined,Monthly,MA,"Order=(0, 0, 3), Seas=(0, 0, 0, 0)",23.650531116411457,0.8466564188396569,-130.73688894059958
YEŞILDERE CADDESI,Combined,Monthly,ARMA,"Order=(1, 0, 2), Seas=(0, 0, 0, 0)",9.313017168973127,0.4249739465330551,9.141295912457293
YEŞILDERE CADDESI,Combined,Monthly,ARIMA,"Order=(0, 1, 2), Seas=(0, 0, 0, 0)",10.491225826249176,0.4795262125461786,-2.35342269511391
YEŞILDERE CADDESI,Combined,Monthly,SARIMA,"Order=(0, 1, 1), Seas=(1, 1, 1, 12)",10.662293142438743,0.36531105524899793,-4.022372121353595
YEŞILDERE CADDESI,Combined,Monthly,ExpSmoothing,"{'trend': None, 'seasonal': 'add', 'seasonal_periods': 12}",10.666664612936193,0.44895722857267023,-4.065020614011642
ANADOLU CADDESI,Combined,Monthly,Baseline,Mean,7.6333333333333355,0.3406985686515987,0.0
ANADOLU CADDESI,Combined,Monthly,AR,"Order=(3, 0, 0), Seas=(0, 0, 0, 0)",6.231433796933557,0.27286075197968734,18.36549611004076
ANADOLU CADDESI,Combined,Monthly,MA,"Order=(0, 0, 3), Seas=(0, 0, 0, 0)",25.477142639511325,0.8915015356767114,-233.76169396739718
ANADOLU CADDESI,Combined,Monthly,ARMA,"Order=(2, 0, 2), Seas=(0, 0, 0, 0)",6.305586369270337,0.26610162713263724,17.39406503139299
ANADOLU CADDESI,Combined,Monthly,ARIMA,"Order=(1, 1, 2), Seas=(0, 0, 0, 0)",7.757226161877958,0.32937951609032146,-1.6230501556064116
ANADOLU CADDESI,Combined,Monthly,SARIMA,"Order=(0, 1, 1), Seas=(1, 1, 1, 12)",10.256568487441065,0.3651254467996616,-34.36552603634579
ANADOLU CADDESI,Combined,Monthly,ExpSmoothing,"{'trend': None, 'seasonal': None}",7.633333298231197,0.3406985671761881,4.59853337359493e-07
MÜRSELPAŞA BULVARI,Combined,Monthly,Baseline,Mean,8.316666666666668,0.3642418896729242,0.0
MÜRSELPAŞA BULVARI,Combined,Monthly,AR,"Order=(3, 0, 0), Seas=(0, 0, 0, 0)",8.914469330233683,0.39605320118936516,-7.188007978761695
MÜRSELPAŞA BULVARI,Combined,Monthly,MA,"Order=(0, 0, 3), Seas=(0, 0, 0, 0)",20.141675067140245,0.7954925425768918,-142.18446974517326
MÜRSELPAŞA BULVARI,Combined,Monthly,ARMA,"Order=(1, 0, 2), Seas=(0, 0, 0, 0)",6.102308813391009,0.2640674167996438,26.62554532996785
MÜRSELPAŞA BULVARI,Combined,Monthly,ARIMA,"Order=(0, 1, 2), Seas=(0, 0, 0, 0)",6.904349002288715,0.2998146258608409,16.981775523582602
MÜRSELPAŞA BULVARI,Combined,Monthly,SARIMA,"Order=(0, 1, 1), Seas=(1, 1, 1, 12)",11.47996580156781,0.4848941321146751,-38.035660940695074
MÜRSELPAŞA BULVARI,Combined,Monthly,ExpSmoothing,"{'trend': None, 'seasonal': None}",6.9237224313728305,0.3008424137052277,16.748828480487024
AKÇAY CADDESI,Combined,Monthly,Baseline,Mean,5.00833333333333,0.16706075045076263,0.0
AKÇAY CADDESI,Combined,Monthly,AR,"Order=(3, 0, 0), Seas=(0, 0, 0, 0)",3.8121789259645467,0.12537064129617054,23.883282676248605
AKÇAY CADDESI,Combined,Monthly,MA,"Order=(0, 0, 3), Seas=(0, 0, 0, 0)",22.49826855958665,0.6691048882771641,-349.2166767305157
AKÇAY CADDESI,Combined,Monthly,ARMA,"Order=(1, 0, 2), Seas=(0, 0, 0, 0)",4.026504867351551,0.13397275793599286,19.603896159369985
AKÇAY CADDESI,Combined,Monthly,ARIMA,"Order=(2, 1, 2), Seas=(0, 0, 0, 0)",6.854197248504142,0.22780807528081956,-36.855851883610235
AKÇAY CADDESI,Combined,Monthly,SARIMA,"Order=(0, 1, 1), Seas=(1, 1, 1, 12)",5.662815877402792,0.17906937484871974,-13.06787109622887
AKÇAY CADDESI,Combined,Monthly,ExpSmoothing,"{'trend': None, 'seasonal': 'add', 'seasonal_periods': 12}",6.235944490278559,0.20108394254089534,-24.51137085414768
MUSTAFA KEMAL SAHIL BULVARI,Combined,Monthly,Baseline,Mean,5.8,0.38149805068226117,0.0
MUSTAFA KEMAL SAHIL BULVARI,Combined,Monthly,AR,"Order=(3, 0, 0), Seas=(0, 0, 0, 0)",3.4898364871664866,0.20658343496148523,39.83040539368126
MUSTAFA KEMAL SAHIL BULVARI,Combined,Monthly,MA,"Order=(0, 0, 3), Seas=(0, 0, 0, 0)",13.852971381057644,0.7512299283680154,-138.8443341561663
MUSTAFA KEMAL SAHIL BULVARI,Combined,Monthly,ARMA,"Order=(1, 0, 2), Seas=(0, 0, 0, 0)",3.135615961573354,0.18850179037296813,45.93765583494217
MUSTAFA KEMAL SAHIL BULVARI,Combined,Monthly,ARIMA,"Order=(0, 1, 2), Seas=(0, 0, 0, 0)",3.414456072363535,0.21692063602650954,41.130067717870084
MUSTAFA KEMAL SAHIL BULVARI,Combined,Monthly,SARIMA,"Order=(0, 1, 1), Seas=(1, 1, 1, 12)",9.233566269100011,0.5027328722091021,-59.19941843275882
MUSTAFA KEMAL SAHIL BULVARI,Combined,Monthly,ExpSmoothing,"{'trend': 'add', 'seasonal': None}",3.1276111549987617,0.18552742002071806,46.07566974140066
ANKARA CADDESI,Combined,Monthly,Baseline,Mean,8.174999999999999,0.901734532828283,0.0
ANKARA CADDESI,Combined,Monthly,AR,"Order=(3, 0, 0), Seas=(0, 0, 0, 0)",5.060898695607071,0.5594096190225609,38.092982316733064
ANKARA CADDESI,Combined,Monthly,MA,"Order=(0, 0, 3), Seas=(0, 0, 0, 0)",9.827804186000934,0.7241132276489077,-20.217788207962514
ANKARA CADDESI,Combined,Monthly,ARMA,"Order=(1, 0, 2), Seas=(0, 0, 0, 0)",4.666102121245687,0.4730545781887486,42.92229821106193
ANKARA CADDESI,Combined,Monthly,ARIMA,"Order=(0, 1, 2), Seas=(0, 0, 0, 0)",4.925017667963201,0.5290821634067743,39.75513556008317
ANKARA CADDESI,Combined,Monthly,SARIMA,"Order=(0, 1, 1), Seas=(1, 1, 1, 12)",19.21254154962678,2.05376823297239,-135.01579877219308
ANKARA CADDESI,Combined,Monthly,ExpSmoothing,"{'trend': None, 'seasonal': None}",4.670119178882909,0.5117069794272633,42.873159891340556
ALTINYOL CADDESI,Combined,Monthly,Baseline,Mean,3.2000000000000006,0.2518253968253969,0.0
ALTINYOL CADDESI,Combined,Monthly,AR,"Order=(3, 0, 0), Seas=(0, 0, 0, 0)",3.528855076217715,0.27846735184260296,-10.27672113180357
ALTINYOL CADDESI,Combined,Monthly,MA,"Order=(0, 0, 3), Seas=(0, 0, 0, 0)",12.766542227758938,0.8902557292833766,-298.9544446174667
ALTINYOL CADDESI,Combined,Monthly,ARMA,"Order=(2, 0, 2), Seas=(0, 0, 0, 0)",2.939014072125037,0.21215734769921343,8.155810246092617
ALTINYOL CADDESI,Combined,Monthly,ARIMA,"Order=(1, 1, 2), Seas=(0, 0, 0, 0)",2.841857134105659,0.2096098475638355,11.19196455919817
ALTINYOL CADDESI,Combined,Monthly,SARIMA,"Order=(0, 1, 1), Seas=(1, 1, 1, 12)",5.265179593927324,0.36234640695769665,-64.53686231022886
ALTINYOL CADDESI,Combined,Monthly,ExpSmoothing,"{'trend': None, 'seasonal': None}",2.389303962546952,0.1833022793740082,25.334251170407768
YEŞILLIK CADDESI,Combined,Monthly,Baseline,Mean,4.216666666666666,0.33360774029891677,0.0
YEŞILLIK CADDESI,Combined,Monthly,AR,"Order=(3, 0, 0), Seas=(0, 0, 0, 0)",3.4845155701934485,0.20334586097901153,17.36326711003678
YEŞILLIK CADDESI,Combined,Monthly,MA,"Order=(0, 0, 3), Seas=(0, 0, 0, 0)",13.70735059303273,0.9297087383427586,-225.0755081351636
YEŞILLIK CADDESI,Combined,Monthly,ARMA,"Order=(1, 0, 2), Seas=(0, 0, 0, 0)",2.7502732407943107,0.20342766026398307,34.77612867681476
YEŞILLIK CADDESI,Combined,Monthly,ARIMA,"Order=(0, 1, 2), Seas=(0, 0, 0, 0)",2.9561866589063723,0.22729240564735528,29.89280650814926
YEŞILLIK CADDESI,Combined,Monthly,SARIMA,"Order=(0, 1, 1), Seas=(1, 1, 1, 12)",2.5775256375447517,0.18033803445197902,38.87290978154738
YEŞILLIK CADDESI,Combined,Monthly,ExpSmoothing,"{'trend': None, 'seasonal': None}",4.216666078740192,0.3336076934393306,1.3942920325551158e-05
